Topic (Sub-Lesson),Question Text,Options (A|B|C|D),Correct Answer
What Machine Learning Is,Which statement best defines machine learning?,Letting computers learn from data instead of being explicitly programmed | Storing very large datasets so that software can search through them faster | Automating routine work so that humans are removed from all decisions | Hand-coding in advance every single rule a program will ever apply,Letting computers learn from data instead of being explicitly programmed
What Machine Learning Is,"In Arthur Samuel's checkers program, how did the system improve its play over time?",It simply memorized a fixed list of board positions known to win | It searched every possible continuation of the game to perfect depth | It learned by playing many games against itself and tracking outcomes | It was corrected by hand by a human expert after each move it made,It learned by playing many games against itself and tracking outcomes
What Machine Learning Is,Why is machine learning well suited to tasks such as speech recognition or web search ranking?,Every rule needed to hand-code these systems is already fully known | These tasks are too complex to capture fully with explicit rules | These tasks can be carried out without making use of any data at all | These tasks involve only a very small number of possible outputs,These tasks are too complex to capture fully with explicit rules
What Machine Learning Is,Which of the following is an example of machine learning in action?,A streaming service recommending movies similar to ones you watched | Computing the sales tax on a purchase with a fixed written formula | Saving a brand-new contact in your phone by typing in the details | Typing out a text message with predictive word suggestions disabled,A streaming service recommending movies similar to ones you watched
What Machine Learning Is,Why is machine learning often viewed as a key step toward building more capable AI systems?,"Because every AI system that exists today is already fully intelligent | Because machine learning removes essentially all need for computation | Because symbolic, rule-based programming has now been abandoned entirely | Because learning algorithms let systems improve from experience",Because learning algorithms let systems improve from experience
When to Use Machine Learning,For which kind of problem is machine learning especially appropriate?,When no data exists at all and gathering examples is impossible | When perfect certainty is required and no prediction is ever needed | When the input-to-output mapping is hard to specify but examples exist | When the whole task can be solved by a few short hand-coded rules,When the input-to-output mapping is hard to specify but examples exist
When to Use Machine Learning,Why do industries outside of software present large opportunities for machine learning?,Only companies outside of software ever collect any usable data | Many sectors hold untapped problems where data can add value | Software companies can no longer benefit at all from using ML | Machine learning is mainly suited to academic research settings,Many sectors hold untapped problems where data can add value
When to Use Machine Learning,Which task is the clearest sign that machine learning may outperform explicit programming?,"Sorting a long list of numbers from smallest to largest | Diagnosing disease by finding patterns in many X-ray images | Computing a shortest path when all of the rules are known | Looking up an amount owed in a fixed, published tax table",Diagnosing disease by finding patterns in many X-ray images
When to Use Machine Learning,Which statement best describes why the present is a strong time to learn machine learning?,"The field is shrinking quickly, so there is very little competition | Most ML systems are already fully automated and need no people at all | Demand for ML skills is high and its economic impact is broad | Only a small handful of industries still make any practical use of ML",Demand for ML skills is high and its economic impact is broad
When to Use Machine Learning,What common mistake should you avoid when deciding whether to apply machine learning?,Thinking carefully about how the model will be deployed early on | Assuming good tools alone suffice without knowing how to apply them | Collecting labeled examples before you begin to train any model | Trying out more than one approach before committing to a method,Assuming good tools alone suffice without knowing how to apply them
