Track,Course,Unit Number: Lesson Name,Topic (Sub-Lesson),Question Bank,Total Attempts,Accuracy,Last Date Attempted,Days Since,Master Priority
Math Foundations,Calculus,01 Limits and continuity,Estimating limits and one-sided limits,10,2,100%,4/16/2026,51.50662375,23.21%
Math Foundations,Calculus,01 Limits and continuity,"Limits by direct substitution, factoring, and conjugates",10,6,100%,4/17/2026,50.34773836,19.94%
Math Foundations,Calculus,01 Limits and continuity,Limits of trigonometric functions,10,6,50%,4/17/2026,50.34395104,44.94%
Math Foundations,Calculus,01 Limits and continuity,The Squeeze Theorem,9,3,67%,4/17/2026,50.34393343,38.05%
Math Foundations,Calculus,01 Limits and continuity,Types of discontinuities,10,2,100%,4/17/2026,50.34394956,22.80%
Math Foundations,Calculus,01 Limits and continuity,Intermediate Value Theorem (IVT),10,4,75%,4/17/2026,50.34394189,33.30%
Math Foundations,Calculus,02 Derivatives,Derivative as slope and rate of change,10,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,"Derivative rules (Power rule, Product, Quotient)",10,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Derivatives of sin(x) and cos(x),10,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Chain Rule and Implicit differentiation,15,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Higher-order derivatives and Second derivatives,5,0,,,99,100.00%
Math Foundations,Calculus,02 Derivatives,Optimization and Related rates,15,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Antiderivatives and Indefinite integrals,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Reverse Power Rule,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,"Indefinite integrals of ex,1/x,sin, and cos",8,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,"Riemann sums (Left, Right, Midpoint, Trapezoidal)",5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Definite integrals and the Fundamental Theorem of Calculus,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,u-substitution,5,0,,,99,100.00%
Math Foundations,Calculus,03 Integrals,Area between curves,5,1,100%,6/7/2026,-0.8931691319,7.18%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,Limits and continuity review,5,1,100%,4/19/2026,48.34397473,24.59%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,"Power rule, product rule, and quotient rule",8,1,100%,4/25/2026,42.59998854,22.56%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,The Chain Rule for composite functions,5,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,Tangent lines and linear approximations,5,2,100%,4/26/2026,41.92954515,19.82%
Mathematics for Machine Learning,Calculus for ML,01 Derivatives and Optimization,Finding local minima and maxima,5,1,100%,4/19/2026,48.34398421,24.59%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Functions of several variables,3,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Partial derivatives and the Gradient vector,4,1,0%,4/14/2026,53.95804116,76.58%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Higher-order derivatives and the Hessian matrix,4,1,100%,4/14/2026,53.95803277,26.58%
Mathematics for Machine Learning,Calculus for ML,02 Multivariate Calculus,Directional derivatives,4,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,Introduction to Gradient Descent,5,1,100%,4/26/2026,41.92957019,22.32%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,Learning rate and convergence,10,1,100%,4/14/2026,53.96752106,26.58%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,"Gradients of cost functions (e.g., Mean Squared Error)",5,1,100%,4/26/2026,41.9295676,22.32%
Mathematics for Machine Learning,Calculus for ML,03 Optimization in Higher Dimensions,Newton's Method for optimization,5,2,50%,4/19/2026,48.3439709,47.09%
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,Computational graphs and the Chain Rule in graphs,4,0,,,99,100.00%
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,Activations and Activation Functions,15,2,100%,4/14/2026,53.95803851,24.08%
Mathematics for Machine Learning,Calculus for ML,04 Calculus in Neural Networks,Backpropagation algorithm math,5,1,100%,4/14/2026,53.95804794,26.58%
Math Foundations,College Algebra,01 Linear equations and inequalities,"Equations with parentheses, decimals, and fractions",5,1,100%,4/18/2026,49.49902472,25.00%
Math Foundations,College Algebra,01 Linear equations and inequalities,Number of solutions to equations,5,1,100%,4/18/2026,49.45420741,24.98%
